dev_precision,dev_recall,dev_micro_f1,dev_macro_f1,train_precision,train_recall,train_micro_f1,train_macro_f1
0.7105521,0.10798332,0.18747576,0.014729871,0.07879511,0.09145211,0.08465312,0.029013643
0.8436075,0.5693576,0.6798672,0.30797857,0.86755306,0.31551284,0.46273693,0.12726699
0.85069275,0.77733094,0.812359,0.6106831,0.89470226,0.6399298,0.74616796,0.4639825
0.8673173,0.81620497,0.84098524,0.68613994,0.91300476,0.77392346,0.83773065,0.6650463
0.830734,0.8647602,0.84740573,0.7563861,0.92334586,0.8361406,0.87758213,0.76508635
0.7042954,0.86451197,0.7762225,0.74504197,0.9362928,0.8698647,0.90185714,0.82135916
0.8937516,0.86282396,0.8780155,0.7907395,0.94040257,0.8892434,0.91410774,0.85750806
0.8739084,0.89430046,0.88398683,0.8201661,0.94874054,0.90503573,0.92637295,0.87671965
0.9023762,0.86917883,0.88546646,0.8167789,0.95647985,0.92084044,0.9383218,0.90279686
0.8933512,0.8945487,0.8939495,0.8320967,0.9579143,0.92466176,0.9409944,0.90831846
